id,customer_message,gold_intent,gold_action,gold_reason,gold_reply_requirements,difficulty,expected_intent,expected_action,conversation_id,annotator_id,risk_level
GOLD_001,Where is my package? Tracking number 112-9988221 has not updated in 3 days.,order_tracking,AUTO,Standard order_tracking inquiry,Acknowledge delay and ask for order details via DM,easy,order_tracking,AUTO,gold_conv_001,EXP_ANN_01,LOW
GOLD_002,My package was marked as delivered today at 2 PM but nothing is on my doorstep.,order_tracking,AUTO,Standard order_tracking inquiry,Advise checking property/neighbors and offer DM escalation if missing,easy,order_tracking,AUTO,gold_conv_002,EXP_ANN_02,LOW
GOLD_003,Why is my guaranteed Prime 2-day delivery taking 5 days to arrive?,order_tracking,AUTO,Standard order_tracking inquiry,Apologize for Prime delivery delay and ask for order ID via DM,easy,order_tracking,AUTO,gold_conv_003,EXP_ANN_01,LOW
GOLD_004,Can you give me an updated estimated delivery time for order 114-8833921?,order_tracking,AUTO,Standard order_tracking inquiry,Provide general delivery window timeline and request order number,easy,order_tracking,AUTO,gold_conv_004,EXP_ANN_02,LOW
GOLD_005,Tracking shows 'Held at local courier facility'. How do I arrange redelivery?,order_tracking,AUTO,Standard order_tracking inquiry,Direct to carrier pickup or ask for order details,easy,order_tracking,AUTO,gold_conv_005,EXP_ANN_01,LOW
GOLD_006,Order 112-4433221 is delayed due to weather. Will it arrive before Friday?,order_tracking,AUTO,Standard order_tracking inquiry,Acknowledge weather delay and advise monitoring tracking,easy,order_tracking,AUTO,gold_conv_006,EXP_ANN_02,LOW
GOLD_007,Delivery driver handed package to resident but no one was home at my address!,order_tracking,AUTO,Standard order_tracking inquiry,Inquire about safe delivery check and offer DM investigation,medium,order_tracking,AUTO,gold_conv_007,EXP_ANN_01,LOW
GOLD_008,My package has been out for delivery for 14 hours. Is the driver still delivering?,order_tracking,AUTO,Standard order_tracking inquiry,Explain end of day delivery windows and ask for DM,easy,order_tracking,AUTO,gold_conv_008,EXP_ANN_02,LOW
GOLD_009,Package was supposedly left in the mailbox but it is much too large to fit inside.,order_tracking,AUTO,Standard order_tracking inquiry,Apologize and advise checking surroundings or DM for replacement,medium,order_tracking,AUTO,gold_conv_009,EXP_ANN_01,LOW
GOLD_010,Tracking status has been stuck on 'Label Created' for a week.,order_tracking,AUTO,Standard order_tracking inquiry,Check fulfillment dispatch status via DM,easy,order_tracking,AUTO,gold_conv_010,EXP_ANN_02,LOW
GOLD_011,Can I change the delivery address on order 113-9988771 while it is in transit?,order_tracking,AUTO,Standard order_tracking inquiry,Explain address change policy for dispatched orders,medium,order_tracking,AUTO,gold_conv_011,EXP_ANN_01,LOW
GOLD_012,I paid $15 extra for same-day delivery and it arrived 2 days late.,order_tracking,AUTO,Standard order_tracking inquiry,Apologize for missed delivery window and offer DM for shipping fee review,medium,order_tracking,AUTO,gold_conv_012,EXP_ANN_02,LOW
GOLD_013,Why did the carrier deliver my package to the wrong apartment building across the street?,order_tracking,AUTO,Standard order_tracking inquiry,Apologize and request order number to contact logistics,medium,order_tracking,AUTO,gold_conv_013,EXP_ANN_01,LOW
GOLD_014,It's late.,order_tracking,AUTO,Standard order_tracking inquiry,Ask customer for order number or context politely,hard,order_tracking,AUTO,gold_conv_014,EXP_ANN_02,LOW
